Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,combinaiton
f is for family,2015,18+,8.0,78,"Animation,Comedy",4,"f is for family 2015 18+ 8.0 78 Animation,Comedy 4"
the order,2019,18+,6.8,78,"Drama,Mystery",2,"the order 2019 18+ 6.8 78 Drama,Mystery 2"
the spy,2019,18+,7.9,78,"Drama,Thriller",1 ,"the spy 2019 18+ 7.9 78 Drama,Thriller 1 "
goliath,2016,16+,8.2,78,"Drama,Crime",3 ,"goliath 2016 16+ 8.2 78 Drama,Crime 3 "
dollhouse,2009,16+,7.7,78,"Action & Adventure,Drama",2,"dollhouse 2009 16+ 7.7 78 Action & Adventure,Drama 2"
the stranger,2020,16+,7.3,78,"Crime,Drama",1,"the stranger 2020 16+ 7.3 78 Crime,Drama 1"
the deuce,2017,18+,8.1,78,"Drama,2017",3,"the deuce 2017 18+ 8.1 78 Drama,2017 3"
the strain,2014,18+,7.3,78,"Drama,Fantasy",4,"the strain 2014 18+ 7.3 78 Drama,Fantasy 4"
bloodline,2015,18+,8.0,78,"Drama,Thriller",3,"bloodline 2015 18+ 8.0 78 Drama,Thriller 3"
switched at birth,2011,16+,7.7,78,"Drama,Family",5,"switched at birth 2011 16+ 7.7 78 Drama,Family 5"
the terror,2018,18+,8.0,78,"Drama,Horror",2 ,"the terror 2018 18+ 8.0 78 Drama,Horror 2 "
the fresh prince of bel-air,1990,7+,7.9,78,"Comedy,Family",6,"the fresh prince of bel-air 1990 7+ 7.9 78 Comedy,Family 6"
awkward.,2011,16+,7.5,78,"Comedy,Drama",5,"awkward. 2011 16+ 7.5 78 Comedy,Drama 5"
i may destroy you,2020,18+,8.1,78,"Drama,Comedy",1,"i may destroy you 2020 18+ 8.1 78 Drama,Comedy 1"
the missing,2014,16+,8.2,78,"Crime,Drama",2,"the missing 2014 16+ 8.2 78 Crime,Drama 2"
constantine,2014,16+,7.5,78,"Action & Adventure,Fantasy",1,"constantine 2014 16+ 7.5 78 Action & Adventure,Fantasy 1"
kyle xy,2006,7+,7.5,78,"Drama,Mystery",3,"kyle xy 2006 7+ 7.5 78 Drama,Mystery 3"
catastrophe,2015,18+,8.2,78,"Comedy,2015",4,"catastrophe 2015 18+ 8.2 78 Comedy,2015 4"
teen titans,2003,7+,7.8,78,"Action & Adventure,Animation",5,"teen titans 2003 7+ 7.8 78 Action & Adventure,Animation 5"
columbo,1971,7+,8.2,78,"Drama,Crime",10,"columbo 1971 7+ 8.2 78 Drama,Crime 10"
ripper street,2012,18+,8.1,78,"Drama,Crime",5,"ripper street 2012 18+ 8.1 78 Drama,Crime 5"
mystery science theater 3000,1988,16+,8.5,78,"Comedy,Science-Fiction",12 ,"mystery science theater 3000 1988 16+ 8.5 78 Comedy,Science-Fiction 12 "
the act,2019,18+,8.0,78,"Biography,Crime",1,"the act 2019 18+ 8.0 78 Biography,Crime 1"
the spectacular spider-man,2008,7+,8.1,78,"Action & Adventure,Animation",2,"the spectacular spider-man 2008 7+ 8.1 78 Action & Adventure,Animation 2"
the 4400,2004,7+,7.3,78,"Drama,Science-Fiction",4 ,"the 4400 2004 7+ 7.3 78 Drama,Science-Fiction 4 "
little fires everywhere,2020,18+,7.8,78,"Drama,2020",1,"little fires everywhere 2020 18+ 7.8 78 Drama,2020 1"
